                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.7137,                 1.2995,                0.96962,                0.84346,                0.74635,                 0.8067,                0.39884,                 1.6519,                 1.0965,                0.99969,               0.006403,               0.006403,               0.006403
                    111,                 1.7937,                 1.3128,                0.97098,                0.82213,                0.73514,                0.81268,                0.41035,                 1.5973,                 1.0587,                0.99752,                0.00637,                0.00637,                0.00637
                    112,                 1.6871,                  1.254,                0.98138,                0.79138,                0.70457,                0.78999,                0.40332,                 1.5906,                 1.1256,                0.98601,               0.006337,               0.006337,               0.006337
                    113,                  1.694,                 1.2657,                 1.0042,                0.78936,                0.69986,                0.78739,                0.38556,                 1.6811,                 1.2125,                 1.0258,               0.006304,               0.006304,               0.006304
                    114,                 1.7382,                 1.2997,                0.98972,                0.78485,                 0.7345,                0.80706,                0.40473,                  1.584,                 1.0849,                0.98067,               0.006271,               0.006271,               0.006271
                    115,                 1.6488,                 1.2062,                 1.0011,                0.85443,                 0.7162,                0.81258,                0.40878,                  1.635,                 1.0615,                0.98895,               0.006238,               0.006238,               0.006238
                    116,                 1.7181,                   1.24,                0.97243,                  0.828,                0.73551,                 0.8175,                0.41528,                   1.59,                  1.035,                0.99113,               0.006205,               0.006205,               0.006205
                    117,                 1.6447,                 1.1637,                0.99524,                0.83977,                0.75509,                0.83217,                0.42097,                 1.6155,                 1.0219,                0.98517,               0.006172,               0.006172,               0.006172
                    118,                 1.7069,                 1.1844,                0.97113,                 0.8468,                0.75084,                0.83279,                0.42849,                  1.575,                 1.0103,                 0.9846,               0.006139,               0.006139,               0.006139
                    119,                 1.6875,                 1.2179,                 1.0068,                0.84872,                0.74036,                0.83191,                0.42414,                 1.5884,                 1.0569,                0.98099,               0.006106,               0.006106,               0.006106
                    120,                 1.7615,                 1.2944,                0.98397,                0.84085,                0.74347,                0.83241,                0.42976,                 1.5972,                  1.061,                0.99186,               0.006073,               0.006073,               0.006073
                    121,                 1.6333,                 1.1712,                0.99438,                0.82335,                0.76607,                0.83305,                0.43733,                 1.5616,                0.99994,                0.97798,                0.00604,                0.00604,                0.00604
                    122,                  1.644,                 1.1868,                0.97008,                0.84157,                0.77417,                0.83814,                0.43041,                 1.5792,                0.99964,                0.98427,               0.006007,               0.006007,               0.006007
                    123,                 1.6785,                 1.2317,                0.97997,                0.83937,                 0.7538,                0.83787,                0.43122,                 1.5508,                0.99762,                 0.9724,               0.005974,               0.005974,               0.005974
